selected_id,resource_type,resource_id,source_file,json_valid,likely_numeric,has_value,has_unit,needs_linked_context,complexity_guess,selection_priority,selection_notes
Observation/c78b3e3b-a12e-a6fb-5f2c-936113da8159,Observation,c78b3e3b-a12e-a6fb-5f2c-936113da8159,Observation.009.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/d862af8c-2602-fe1e-45d4-a6d31110adec,Observation,d862af8c-2602-fe1e-45d4-a6d31110adec,Observation.009.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/b7343f36-9eec-49c6-2ff7-23ea5c571df8,Observation,b7343f36-9eec-49c6-2ff7-23ea5c571df8,Observation.008.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/b0b6665c-bf52-0e64-6fbf-ddaad94f394f,Observation,b0b6665c-bf52-0e64-6fbf-ddaad94f394f,Observation.008.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/bfde53a6-6f21-7afa-aba1-a6199f8079f9,Observation,bfde53a6-6f21-7afa-aba1-a6199f8079f9,Observation.008.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/9b33bb8e-36c4-c269-e64a-092200ab5203,Observation,9b33bb8e-36c4-c269-e64a-092200ab5203,Observation.007.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/e8f7e38f-3a74-5f81-867a-70701f32d94c,Observation,e8f7e38f-3a74-5f81-867a-70701f32d94c,Observation.010.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/e6230185-9446-b756-719f-fbd445718532,Observation,e6230185-9446-b756-719f-fbd445718532,Observation.010.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/f18dd820-9a6c-bc42-60e0-267795d9e34a,Observation,f18dd820-9a6c-bc42-60e0-267795d9e34a,Observation.011.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/f2179da4-429c-4274-0356-ddde4c27eb66,Observation,f2179da4-429c-4274-0356-ddde4c27eb66,Observation.011.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/2b1e2097-da65-7324-be1e-6b0fd5da7715,Observation,2b1e2097-da65-7324-be1e-6b0fd5da7715,Observation.001.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/8957b087-7da6-92cf-1062-bcb8067c83f0,Observation,8957b087-7da6-92cf-1062-bcb8067c83f0,Observation.006.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/e8f7e38f-3a74-5f81-fa87-a4499a902d54,Observation,e8f7e38f-3a74-5f81-fa87-a4499a902d54,Observation.010.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/a0f388ef-96e2-93dc-de6f-b820d5d0401c,Observation,a0f388ef-96e2-93dc-de6f-b820d5d0401c,Observation.007.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/8ca1a5c9-6eca-d899-9784-41007c8e278d,Observation,8ca1a5c9-6eca-d899-9784-41007c8e278d,Observation.006.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/2a8a2766-3888-231c-6ac1-cef3bd800569,Observation,2a8a2766-3888-231c-6ac1-cef3bd800569,Observation.001.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/2fb1b49d-dd75-a867-53ff-95b5258c177c,Observation,2fb1b49d-dd75-a867-53ff-95b5258c177c,Observation.001.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/a64cb913-3dca-7769-2434-2c6122ad65ee,Observation,a64cb913-3dca-7769-2434-2c6122ad65ee,Observation.007.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/eeab072e-f79b-32fb-1a31-08c404d8c368,Observation,eeab072e-f79b-32fb-1a31-08c404d8c368,Observation.011.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/ee85b29b-74e5-80e2-b67b-8b245ffc85da,Observation,ee85b29b-74e5-80e2-b67b-8b245ffc85da,Observation.012.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/eeb1ea24-97a7-873b-4e85-8a575e8e99ea,Observation,eeb1ea24-97a7-873b-4e85-8a575e8e99ea,Observation.012.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/f218904b-d818-af99-2979-78330e46283c,Observation,f218904b-d818-af99-2979-78330e46283c,Observation.012.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/1ca22b04-60bd-7a3f-fbad-25ea0fc72fbb,Observation,1ca22b04-60bd-7a3f-fbad-25ea0fc72fbb,Observation.000.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/2fb1b49d-dd75-a867-c60b-8c71843bb066,Observation,2fb1b49d-dd75-a867-c60b-8c71843bb066,Observation.002.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/1f0b80aa-9bf0-1cfd-bb6e-c45d816aab2d,Observation,1f0b80aa-9bf0-1cfd-bb6e-c45d816aab2d,Observation.001.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/802fef3c-5094-03ba-1b5a-47de9dfff51c,Observation,802fef3c-5094-03ba-1b5a-47de9dfff51c,Observation.005.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/09e96014-f348-42fa-a977-cca51b39a0e3,Observation,09e96014-f348-42fa-a977-cca51b39a0e3,Observation.000.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/4fee57ac-ac4d-c70d-7e82-90fd48ea324b,Observation,4fee57ac-ac4d-c70d-7e82-90fd48ea324b,Observation.003.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/5d2693b5-f896-3aef-4868-ebec84f0096f,Observation,5d2693b5-f896-3aef-4868-ebec84f0096f,Observation.004.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/a89e8a9e-eac1-dbc2-aa7a-736043800575,Observation,a89e8a9e-eac1-dbc2-aa7a-736043800575,Observation.007.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/5a8f777f-db9c-4f84-ca6c-74e09acb211b,Observation,5a8f777f-db9c-4f84-ca6c-74e09acb211b,Observation.004.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/4f90baf5-4cdf-5196-0c47-fc170f3590ac,Observation,4f90baf5-4cdf-5196-0c47-fc170f3590ac,Observation.003.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/4a05ffc8-251f-2a07-0287-897a575f0ca8,Observation,4a05ffc8-251f-2a07-0287-897a575f0ca8,Observation.003.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/7b525730-5dad-7edb-9b63-84fc7a501364,Observation,7b525730-5dad-7edb-9b63-84fc7a501364,Observation.005.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/5ab0991e-33aa-769a-816a-e809e22f2120,Observation,5ab0991e-33aa-769a-816a-e809e22f2120,Observation.004.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/967e8e64-eb2f-cd30-4c02-4f7b3bbb36cb,Observation,967e8e64-eb2f-cd30-4c02-4f7b3bbb36cb,Observation.006.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/c30f6311-cc84-486f-a6f2-0bbbbd16e750,Observation,c30f6311-cc84-486f-a6f2-0bbbbd16e750,Observation.009.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/19a1cdb3-87ac-5c1d-9ac5-228e99944f52,Observation,19a1cdb3-87ac-5c1d-9ac5-228e99944f52,Observation.000.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/5b261329-116d-d7d1-ae43-a84a497dcfce,Observation,5b261329-116d-d7d1-ae43-a84a497dcfce,Observation.004.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/41722f90-64d8-d85b-7692-193f042fedad,Observation,41722f90-64d8-d85b-7692-193f042fedad,Observation.002.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/142ba37a-cbca-2be7-ea57-8b2509cdc9bd,Observation,142ba37a-cbca-2be7-ea57-8b2509cdc9bd,Observation.000.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/49809f73-05b2-8556-effb-6e7ccdd7da50,Observation,49809f73-05b2-8556-effb-6e7ccdd7da50,Observation.003.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/356ad884-1c1a-8189-e2de-469b929d6d57,Observation,356ad884-1c1a-8189-e2de-469b929d6d57,Observation.002.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/93cd3ea9-832e-7ae6-610b-4c4c04f0ed2d,Observation,93cd3ea9-832e-7ae6-610b-4c4c04f0ed2d,Observation.006.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/84e3dde1-25f3-13e4-d8c8-5da13570ef90,Observation,84e3dde1-25f3-13e4-d8c8-5da13570ef90,Observation.005.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/3829e011-02dc-8d79-b51e-31187fdaa53a,Observation,3829e011-02dc-8d79-b51e-31187fdaa53a,Observation.002.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/fd8f5421-e1db-1e61-dc39-ede0b148d85e,Observation,fd8f5421-e1db-1e61-dc39-ede0b148d85e,Observation.013.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/8039b852-a466-93af-89f9-c7c04687c06d,Observation,8039b852-a466-93af-89f9-c7c04687c06d,Observation.005.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/ffc90677-874f-53e1-1dc1-7e1cfdee7d23,Observation,ffc90677-874f-53e1-1dc1-7e1cfdee7d23,Observation.013.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Observation/ff3fb6a1-e97d-277b-61c0-f0317a7b6f70,Observation,ff3fb6a1-e97d-277b-61c0-f0317a7b6f70,Observation.013.ndjson,true,true,true,true,true,moderate,03_relaxed_linked_moderate,Observation selected after linked-context relaxation; still numeric with value and unit metadata at moderate complexity.
Patient/07066faf-a4af-97d3-0780-89e015322ec5,Patient,07066faf-a4af-97d3-0780-89e015322ec5,Patient.000.ndjson,true,false,false,false,false,low,01_deceased_coverage,Selected as a low-complexity Patient seed with explicit deceasedDateTime coverage for revised pairing-rule validation.
Patient/095dd3d9-8eb6-e786-8bfe-4e37c593e014,Patient,095dd3d9-8eb6-e786-8bfe-4e37c593e014,Patient.000.ndjson,true,false,false,false,false,low,01_deceased_coverage,Selected as a low-complexity Patient seed with explicit deceasedDateTime coverage for revised pairing-rule validation.
Patient/01867dda-3c09-6717-00e7-92fa7be373b3,Patient,01867dda-3c09-6717-00e7-92fa7be373b3,Patient.000.ndjson,true,false,false,false,false,low,01_deceased_coverage,Selected as a low-complexity Patient seed with explicit deceasedDateTime coverage for revised pairing-rule validation.
Patient/06537fa0-88e4-a5f1-03a3-e61aa904a286,Patient,06537fa0-88e4-a5f1-03a3-e61aa904a286,Patient.000.ndjson,true,false,false,false,false,low,02_living_anchor,Selected as a low-complexity Patient demographic anchor with no linked-context requirement.
Patient/04b5aa7a-6798-43aa-721c-18ecc7fc9b70,Patient,04b5aa7a-6798-43aa-721c-18ecc7fc9b70,Patient.000.ndjson,true,false,false,false,false,low,02_living_anchor,Selected as a low-complexity Patient demographic anchor with no linked-context requirement.
Patient/03ef042e-a1fc-ab90-994c-ba84902c82b7,Patient,03ef042e-a1fc-ab90-994c-ba84902c82b7,Patient.000.ndjson,true,false,false,false,false,low,02_living_anchor,Selected as a low-complexity Patient demographic anchor with no linked-context requirement.
Patient/0192b1af-35a4-294f-5da0-92c2a5a67a8e,Patient,0192b1af-35a4-294f-5da0-92c2a5a67a8e,Patient.000.ndjson,true,false,false,false,false,low,02_living_anchor,Selected as a low-complexity Patient demographic anchor with no linked-context requirement.
Patient/07a7b4b2-8f12-a2d1-d2d1-82a82bbcfc86,Patient,07a7b4b2-8f12-a2d1-d2d1-82a82bbcfc86,Patient.000.ndjson,true,false,false,false,false,low,02_living_anchor,Selected as a low-complexity Patient demographic anchor with no linked-context requirement.
Patient/05256571-4570-c9e5-e2c9-ee5172005f26,Patient,05256571-4570-c9e5-e2c9-ee5172005f26,Patient.000.ndjson,true,false,false,false,false,low,02_living_anchor,Selected as a low-complexity Patient demographic anchor with no linked-context requirement.
Patient/08056bc1-b178-1d21-c3de-0e659df18a34,Patient,08056bc1-b178-1d21-c3de-0e659df18a34,Patient.000.ndjson,true,false,false,false,false,low,02_living_anchor,Selected as a low-complexity Patient demographic anchor with no linked-context requirement.
